STUDENT_UNIQUE_ID,STUDENT_GENDER,STUDENT_RACE,ELL_STATE_STATUS,SCHOOL_UNIQUE_ID,grade_level,entry_date,entry_code,leave_date,leave_code,verified_transfer,numerator,denominator
244021956,FEMALE,"BLACK, NON-HISPANIC",NO,1440252,12,2012-09-11,01,2016-04-05,L,N/A,,1
248634831,FEMALE,"BLACK, NON-HISPANIC",NO,1440252,12,2016-01-12,02,2016-04-29,L,N/A,,1
251213338,MALE,HISPANIC,NO,2195042,12,2015-05-28,04,2016-03-12,L,N/A,,1
251626463,MALE,HISPANIC,NO,1440252,12,2013-09-10,01,2016-06-02,L,N/A,,1
252226344,FEMALE,"BLACK, NON-HISPANIC",NO,1440079,12,2010-07-02,02,2015-08-14,L,N/A,,1
252261694,MALE,"BLACK, NON-HISPANIC",NO,1440252,12,2013-01-25,01,2016-06-02,L,N/A,,1
254351313,FEMALE,"BLACK, NON-HISPANIC",NO,1440252,12,2015-10-22,01,2015-11-03,L,N/A,,1
256572894,MALE,"BLACK, NON-HISPANIC",NO,1440252,12,2015-09-15,01,2016-05-02,L,N/A,,1
259139200,MALE,"BLACK, NON-HISPANIC",NO,1440079,12,2010-07-02,02,2015-08-14,L,N/A,,1
259939306,MALE,HISPANIC,NO,1440079,12,2010-07-02,02,2015-09-22,L,N/A,,1
261484375,MALE,HISPANIC,NO,1440374,12,2012-07-01,02,2016-05-28,L,N/A,,1
261665438,MALE,"BLACK, NON-HISPANIC",NO,2195111,10,2014-07-01,02,2016-02-09,L,N/A,,1
263504125,FEMALE,"BLACK, NON-HISPANIC",NO,1440202,11,2013-08-13,02,2015-10-09,L,N/A,,1
264558150,MALE,HISPANIC,NO,2197386,11,2012-07-12,02,2016-05-24,L,N/A,,1
267169225,FEMALE,"WHITE, NON-HISPANIC",NO,1440079,12,2012-07-01,02,2015-10-23,L,N/A,,1
269018781,MALE,"BLACK, NON-HISPANIC",NO,1440389,10,2015-08-21,02,2016-03-10,L,N/A,,1
273510475,FEMALE,HISPANIC,NO,2197386,12,2013-08-27,02,2016-03-02,L,N/A,,1
275377813,FEMALE,"WHITE, NON-HISPANIC",NO,1440079,12,2013-07-30,02,2015-09-09,L,N/A,,1
275639013,FEMALE,"BLACK, NON-HISPANIC",NO,2196878,10,2015-07-01,02,2015-09-07,L,N/A,,1
276101688,MALE,"BLACK, NON-HISPANIC",NO,1440252,12,2011-08-18,01,2016-05-05,L,N/A,,1
276926156,FEMALE,HISPANIC,NO,2197386,12,2012-07-01,02,2016-03-02,L,N/A,,1
277074588,FEMALE,"BLACK, NON-HISPANIC",NO,2195377,09,2007-07-01,02,2016-06-28,L,N/A,,1
277706744,MALE,HISPANIC,YES,1440252,12,2013-05-03,01,2016-05-13,L,N/A,,1
281220294,MALE,"BLACK, NON-HISPANIC",NO,1440202,09,2015-08-21,02,2015-09-05,L,N/A,,1
313009750,FEMALE,"BLACK, NON-HISPANIC",NO,1440252,12,2012-03-02,01,2016-05-13,L,N/A,,1
313352825,FEMALE,"WHITE, NON-HISPANIC",NO,2195118,09,2016-05-16,03,2016-05-18,L,N/A,,1
314057206,MALE,"BLACK, NON-HISPANIC",NO,1440202,09,2015-07-01,02,2015-09-03,L,N/A,,1
314831563,MALE,"BLACK, NON-HISPANIC",NO,1440252,12,2014-01-31,06,2016-05-05,L,N/A,,1
315305394,FEMALE,"BLACK, NON-HISPANIC",NO,2196878,09,2015-07-01,03,2015-09-07,L,N/A,,1
